,Adolescent fertility rate (women aged 15-19 years),,,,,,,,,,,,,,,,,,,,,,"GII: Gender Inequality Index, value",,,,,,,,,,,,,,,,,,,,,,"Labour force participation rate, female-male ratio",,,,,,,,,,,,,,,,,,,,,,"Population with at least secondary education, female/male ratio",,,,,,,,,,,,,,,,,,,,,,Maternal mortality ratio,,,,,,,,,,,,,,,,,,,,,,"Shares in parliament, female-male ratio",,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,a,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,
Country,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,"(births per 1,000 women aged 15-19)",,,,,,,,,,,,,,,,,,,,,,,,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male shares),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,(Ratio of female to male rates),,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,"(deaths of women per100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,
Norway,..,,..,,..,,..,,12.6,,9.6,,..,,..,,8.6,,..,,8.6,,..,,..,,..,,0.106,,0.105,,0.083,,..,,..,,..,,..,,0.075,,0.680,,0.734,,0.779,,0.823,,0.838,,0.863,,0.862,,0.875,,0.882,,0.887,,..,,0.742,,0.844,,0.896,,0.913,,0.929,,1.000,,..,,..,,..,,..,,..,,..,,..,,9,,4,,8,,9,,..,,..,,7,,..,,..,,..,,..,,..,,..,,0.571,,0.610,,..,,..,,0.565,,0.657,,0.657,
Occupied Palestinian Territory,..,,..,,..,,..,,96.5,,71.4,,..,,..,,78.7,,..,,78.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.156,,0.167,,0.169,,0.166,,0.156,,0.206,,0.213,,0.219,,0.226,,0.242,,..,,..,,..,,..,,..,,0.809,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Oman,..,,..,,..,,..,,43.2,,18.1,,..,,..,,10.4,,..,,10.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.309,,0.271,,0.224,,0.233,,0.249,,0.296,,0.317,,0.319,,0.321,,0.323,,0.330,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,49,,35,,27,,22,,..,,..,,20,,..,,..,,..,,..,,..,,..,,..,,0.085,,..,,..,,0.100,,0.099,,0.099,
Pakistan,..,,..,,..,,..,,60.0,,41.3,,..,,..,,45.7,,..,,45.7,,..,,..,,..,,0.773,,..,,0.611,,..,,..,,..,,..,,0.573,,0.136,,0.136,,0.159,,0.150,,0.191,,0.229,,0.246,,0.251,,0.252,,0.256,,..,,0.086,,0.265,,0.270,,0.327,,0.381,,0.448,,..,,..,,..,,..,,..,,..,,..,,490,,410,,340,,290,,..,,..,,260,,..,,..,,..,,..,,..,,..,,..,,0.259,,..,,..,,0.270,,0.266,,0.266,
Palau,..,,..,,..,,..,,17.3,,15.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.034,,0.001,,..,,..,,0.074,,0.074,,0.074,
Panama,..,,..,,..,,..,,93.2,,89.0,,..,,..,,82.6,,..,,82.6,,..,,..,,..,,0.503,,..,,0.460,,..,,..,,..,,..,,0.492,,0.402,,0.451,,0.489,,0.522,,0.552,,0.592,,0.578,,0.588,,0.588,,0.600,,..,,1.045,,1.032,,1.051,,1.049,,1.049,,1.049,,..,,..,,..,,..,,..,,..,,..,,86,,71,,71,,71,,..,,..,,71,,..,,..,,..,,..,,..,,..,,..,,0.200,,..,,..,,0.200,,0.092,,0.092,
Papua New Guinea,..,,..,,..,,..,,75.6,,71.0,,..,,..,,55.0,,..,,55.0,,..,,..,,..,,0.661,,0.658,,0.682,,..,,..,,..,,..,,0.674,,0.959,,0.962,,0.962,,0.969,,0.967,,0.965,,0.965,,0.966,,0.967,,0.965,,..,,0.356,,0.372,,0.464,,0.466,,0.479,,0.493,,..,,..,,..,,..,,..,,..,,..,,340,,300,,290,,270,,..,,..,,250,,..,,..,,..,,..,,..,,..,,0.019,,0.009,,..,,..,,0.009,,0.009,,0.009,
Paraguay,..,,..,,..,,..,,91.9,,82.3,,..,,..,,72.3,,..,,72.3,,..,,..,,..,,0.566,,0.541,,0.511,,..,,..,,..,,..,,0.476,,0.490,,0.522,,0.543,,0.565,,0.596,,0.639,,0.647,,0.653,,0.638,,0.658,,..,,0.792,,0.820,,0.862,,0.901,,0.856,,0.878,,..,,..,,..,,..,,..,,..,,..,,130,,120,,110,,100,,..,,..,,95,,..,,..,,..,,..,,..,,..,,0.087,,0.106,,..,,..,,0.157,,0.157,,0.157,
Peru,..,,..,,..,,..,,70.5,,61.5,,..,,..,,54.7,,..,,54.7,,..,,..,,..,,0.547,,..,,0.460,,..,,..,,..,,..,,0.415,,0.609,,0.662,,0.654,,0.670,,0.715,,0.751,,0.753,,0.755,,0.756,,0.767,,..,,0.701,,0.722,,0.784,,0.788,,0.808,,0.810,,..,,..,,..,,..,,..,,..,,..,,250,,220,,160,,120,,..,,..,,98,,..,,..,,..,,..,,..,,..,,..,,0.224,,..,,..,,0.412,,0.379,,0.379,
Philippines,..,,..,,..,,..,,49.1,,53.9,,..,,..,,45.0,,..,,45.0,,..,,..,,..,,0.490,,0.477,,0.458,,..,,..,,..,,..,,0.427,,0.625,,0.592,,0.573,,0.590,,0.595,,0.622,,0.613,,0.613,,0.617,,0.627,,..,,0.867,,0.912,,0.928,,0.961,,0.989,,1.014,,..,,..,,..,,..,,..,,..,,..,,180,,140,,120,,110,,..,,..,,94,,..,,..,,..,,..,,..,,..,,0.134,,0.182,,..,,..,,0.254,,0.261,,0.273,
Poland,..,,..,,..,,..,,20.4,,14.9,,..,,..,,13.9,,..,,13.9,,..,,..,,..,,0.236,,0.208,,0.160,,..,,..,,..,,..,,0.164,,0.773,,0.762,,0.766,,0.769,,0.782,,0.760,,0.750,,0.746,,0.742,,0.747,,..,,0.740,,0.790,,1.247,,0.864,,0.910,,0.927,,..,,..,,..,,..,,..,,..,,..,,17,,14,,8,,5,,..,,..,,6,,..,,..,,..,,..,,..,,..,,0.145,,0.236,,..,,..,,0.220,,0.217,,0.217,
Portugal,..,,..,,..,,..,,20.7,,20.2,,..,,..,,16.5,,..,,16.5,,..,,..,,..,,0.216,,0.189,,0.170,,..,,..,,..,,..,,0.140,,0.567,,0.633,,0.665,,0.719,,0.757,,0.800,,0.801,,0.809,,0.808,,0.809,,..,,0.669,,0.755,,0.796,,0.876,,0.931,,0.942,,..,,..,,..,,..,,..,,..,,..,,15,,10,,9,,8,,..,,..,,7,,..,,..,,..,,..,,..,,..,,0.211,,0.271,,..,,..,,0.394,,0.377,,0.377,
Qatar,..,,..,,..,,..,,24.2,,18.6,,..,,..,,15.9,,..,,15.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.549,,0.253,,0.401,,0.428,,0.451,,0.400,,0.496,,0.508,,0.517,,0.520,,0.537,,..,,0.929,,1.025,,1.107,,1.143,,1.133,,1.091,,..,,..,,..,,..,,..,,..,,..,,15,,13,,11,,9,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.001,,0.001,,0.001,
Romania,..,,..,,..,,..,,41.9,,35.0,,..,,..,,31.2,,..,,31.2,,..,,..,,..,,0.458,,..,,0.345,,..,,..,,..,,..,,0.333,,0.824,,0.827,,0.821,,0.819,,0.817,,0.763,,0.766,,0.759,,0.747,,0.757,,..,,0.664,,0.759,,0.830,,0.860,,0.892,,0.910,,..,,..,,..,,..,,..,,..,,..,,170,,72,,52,,31,,..,,..,,27,,..,,..,,..,,..,,..,,..,,..,,0.120,,..,,..,,0.108,,0.108,,0.108,
Russian Federation,..,,..,,..,,..,,35.7,,27.9,,..,,..,,25.1,,..,,25.1,,..,,..,,..,,0.429,,0.429,,0.358,,..,,..,,..,,..,,0.338,,0.792,,0.780,,0.791,,0.772,,0.793,,0.816,,0.821,,0.816,,0.820,,0.830,,..,,0.796,,0.826,,0.851,,0.930,,0.908,,0.934,,..,,..,,..,,..,,..,,..,,..,,74,,72,,57,,39,,..,,..,,39,,..,,..,,..,,..,,..,,..,,0.060,,0.087,,..,,..,,0.130,,0.130,,0.130,
Rwanda,..,,..,,..,,..,,53.5,,44.7,,..,,..,,36.7,,..,,36.7,,..,,..,,..,,0.579,,0.554,,0.491,,..,,..,,..,,..,,0.453,,0.995,,0.982,,0.971,,0.963,,0.991,,1.014,,1.015,,1.015,,1.015,,1.019,,..,,0.431,,0.505,,0.628,,0.766,,0.847,,0.877,,..,,..,,..,,..,,..,,..,,..,,"1,100",,"1,400",,"1,100",,720,,..,,..,,540,,..,,..,,..,,..,,..,,..,,0.346,,0.828,,..,,..,,1.038,,1.038,,1.038,
Saint Kitts and Nevis,..,,..,,..,,..,,71.5,,55.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.154,,0.000,,..,,..,,0.071,,0.071,,0.071,
Saint Lucia,..,,..,,..,,..,,69.8,,62.0,,..,,..,,61.6,,..,,61.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.424,,0.453,,0.550,,0.574,,0.608,,0.651,,0.658,,0.662,,0.667,,0.673,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.160,,0.261,,..,,..,,0.208,,0.261,,0.261,
Saint Vincent and the Grenadines,..,,..,,..,,..,,76.1,,64.6,,..,,..,,58.9,,..,,58.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.459,,0.514,,0.548,,0.583,,0.634,,0.675,,0.691,,0.703,,0.706,,0.711,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.222,,..,,..,,0.222,,0.278,,0.167,
Samoa,..,,..,,..,,..,,45.4,,36.8,,..,,..,,27.6,,..,,27.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.523,,0.521,,0.520,,0.516,,0.514,,0.503,,0.501,,0.500,,0.498,,0.503,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.065,,..,,..,,0.089,,0.089,,0.043,
San Marino,..,,..,,..,,..,,2.7,,2.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.154,,0.200,,..,,..,,0.176,,0.200,,0.200,
Sao Tome and Principe,..,,..,,..,,..,,94.6,,80.0,,..,,..,,66.1,,..,,66.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.447,,0.462,,0.479,,0.512,,0.563,,0.571,,0.574,,0.578,,0.583,,0.585,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.100,,..,,..,,0.078,,0.078,,0.222,
Saudi Arabia,..,,..,,..,,..,,37.3,,20.6,,..,,..,,26.1,,..,,26.1,,..,,..,,..,,..,,..,,0.682,,..,,..,,..,,..,,0.646,,0.128,,0.175,,0.188,,0.191,,0.221,,0.247,,0.252,,0.256,,0.260,,0.266,,..,,0.290,,0.366,,0.512,,0.594,,0.679,,0.807,,..,,..,,..,,..,,..,,..,,..,,41,,32,,28,,25,,..,,..,,24,,..,,..,,..,,..,,..,,..,,..,,0.001,,..,,..,,0.001,,0.001,,0.001,
Senegal,..,,..,,..,,..,,112.4,,107.7,,..,,..,,104.4,,..,,104.4,,..,,..,,..,,0.651,,0.629,,0.600,,..,,..,,..,,..,,0.566,,0.705,,0.685,,0.689,,0.695,,0.705,,0.718,,0.721,,0.724,,0.727,,0.732,,..,,0.446,,0.464,,0.476,,0.510,,0.534,,0.539,,..,,..,,..,,..,,..,,..,,..,,750,,690,,560,,460,,..,,..,,410,,..,,..,,..,,..,,..,,..,,0.163,,0.237,,..,,..,,0.412,,0.420,,0.420,
Serbia,..,,..,,..,,..,,28.0,,25.8,,..,,..,,22.1,,..,,22.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.509,,0.573,,0.648,,0.717,,0.773,,0.814,,..,,..,,..,,..,,..,,..,,..,,13,,15,,9,,8,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.276,,0.276,,0.276,
Seychelles,..,,..,,..,,..,,57.9,,54.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.005,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.308,,0.417,,..,,..,,0.308,,0.308,,0.308,
Sierra Leone,..,,..,,..,,..,,150.9,,143.4,,..,,..,,126.0,,..,,126.0,,..,,..,,..,,..,,..,,0.663,,..,,..,,..,,..,,0.662,,0.967,,0.961,,0.967,,0.988,,1.000,,0.984,,0.980,,0.975,,0.971,,0.970,,..,,0.356,,0.374,,0.376,,0.360,,0.390,,0.411,,..,,..,,..,,..,,..,,..,,..,,"1,300",,"1,400",,"1,300",,"1,100",,..,,..,,970,,..,,..,,..,,..,,..,,..,,..,,0.170,,..,,..,,0.152,,0.152,,0.152,
Singapore,..,,..,,..,,..,,8.0,,7.0,,..,,..,,4.5,,..,,4.5,,..,,..,,..,,0.235,,..,,0.138,,..,,..,,..,,..,,0.086,,0.549,,0.557,,0.640,,0.630,,0.665,,0.692,,0.699,,0.696,,0.715,,0.711,,..,,0.676,,0.869,,0.947,,0.895,,0.874,,0.823,,..,,..,,..,,..,,..,,..,,..,,6,,6,,15,,10,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,0.190,,..,,..,,0.324,,0.306,,0.306,
Slovakia,..,,..,,..,,..,,27.4,,20.7,,..,,..,,20.7,,..,,20.7,,..,,..,,..,,0.241,,0.249,,0.195,,..,,..,,..,,..,,0.194,,0.826,,0.825,,0.817,,0.748,,0.772,,0.747,,0.742,,0.745,,0.745,,0.747,,..,,0.647,,0.704,,0.736,,0.752,,0.817,,0.895,,..,,..,,..,,..,,..,,..,,..,,15,,11,,13,,6,,..,,..,,6,,..,,..,,..,,..,,..,,..,,0.163,,0.200,,..,,..,,0.240,,0.220,,0.190,
Slovenia,..,,..,,..,,..,,12.8,,8.5,,..,,..,,4.9,,..,,4.9,,..,,..,,..,,0.243,,..,,0.203,,..,,..,,..,,..,,0.175,,0.788,,0.787,,0.798,,0.787,,0.802,,0.799,,0.809,,0.804,,0.816,,0.807,,..,,0.500,,0.529,,0.570,,0.606,,0.713,,0.692,,..,,..,,..,,..,,..,,..,,..,,11,,11,,12,,15,,..,,..,,18,,..,,..,,..,,..,,..,,..,,..,,0.121,,..,,..,,0.111,,0.121,,0.121,
Solomon Islands,..,,..,,..,,..,,71.1,,70.1,,..,,..,,41.8,,..,,41.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.513,,0.508,,0.507,,0.505,,0.494,,0.488,,0.486,,0.486,,0.485,,0.484,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,130,,110,,110,,110,,..,,..,,100,,..,,..,,..,,..,,..,,..,,0.021,,0.001,,..,,..,,0.001,,0.001,,0.001,
Somalia,..,,..,,..,,..,,72.5,,71.9,,..,,..,,70.1,,..,,70.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.649,,0.673,,0.691,,0.708,,0.690,,0.675,,0.673,,0.670,,0.668,,0.667,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"1,100",,"1,200",,"1,200",,"1,200",,..,,..,,"1,200",,..,,..,,..,,..,,..,,..,,..,,0.087,,..,,..,,0.089,,0.074,,0.073,
South Africa,..,,..,,..,,..,,80.6,,70.7,,..,,..,,59.2,,..,,59.2,,..,,..,,..,,0.518,,0.526,,0.520,,..,,..,,..,,..,,0.490,,0.503,,0.532,,0.576,,0.661,,0.727,,0.745,,0.741,,0.737,,0.740,,0.740,,..,,1.083,,0.925,,0.943,,0.972,,0.928,,0.957,,..,,..,,..,,..,,..,,..,,..,,230,,260,,380,,440,,..,,..,,410,,..,,..,,..,,..,,..,,..,,0.430,,0.489,,..,,..,,0.513,,0.746,,0.746,
Spain,..,,..,,..,,..,,8.1,,10.3,,..,,..,,12.1,,..,,12.1,,..,,..,,..,,0.145,,0.119,,0.118,,..,,..,,..,,..,,0.117,,0.368,,0.398,,0.501,,0.572,,0.619,,0.673,,0.693,,0.705,,0.724,,0.718,,..,,0.689,,0.757,,0.791,,0.864,,0.905,,0.893,,..,,..,,..,,..,,..,,..,,..,,7,,4,,5,,6,,..,,..,,6,,..,,..,,..,,..,,..,,..,,0.350,,0.440,,..,,..,,0.506,,0.517,,0.533,
Sri Lanka,..,,..,,..,,..,,28.0,,27.9,,..,,..,,29.8,,..,,29.8,,..,,..,,..,,0.473,,..,,0.447,,..,,..,,..,,..,,0.419,,0.496,,0.461,,0.472,,0.474,,0.474,,0.454,,0.485,,0.466,,0.461,,0.456,,..,,0.844,,0.845,,0.892,,0.928,,0.951,,0.961,,..,,..,,..,,..,,..,,..,,..,,91,,73,,59,,45,,..,,..,,39,,..,,..,,..,,..,,..,,..,,..,,0.051,,..,,..,,0.061,,0.061,,0.056,
Sudan*,..,,..,,..,,..,,87.1,,73.6,,..,,..,,56.8,,..,,56.8,,..,,..,,..,,0.718,,..,,0.653,,..,,..,,..,,..,,0.611,,0.364,,0.358,,0.348,,0.362,,0.384,,0.404,,0.407,,0.412,,0.418,,0.417,,..,,0.260,,0.284,,0.368,,0.493,,0.579,,0.646,,..,,..,,..,,..,,..,,..,,..,,830,,780,,770,,760,,..,,..,,750,,..,,..,,..,,..,,..,,..,,..,,0.157,,..,,..,,0.202,,0.214,,0.319,
Suriname,..,,..,,..,,..,,50.8,,44.8,,..,,..,,39.5,,..,,39.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.513,,0.536,,0.528,,0.496,,0.515,,0.551,,0.558,,0.566,,0.577,,0.583,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,84,,39,,110,,100,,..,,..,,100,,..,,..,,..,,..,,..,,..,,..,,0.342,,..,,..,,0.342,,0.342,,0.109,
Swaziland,..,,..,,..,,..,,109.4,,102.4,,..,,..,,83.9,,..,,83.9,,..,,..,,..,,0.571,,0.607,,0.573,,..,,..,,..,,..,,0.546,,0.554,,0.550,,0.556,,0.561,,0.619,,0.667,,0.679,,0.691,,0.704,,0.709,,..,,1.013,,1.616,,1.555,,1.447,,1.341,,1.217,,..,,..,,..,,..,,..,,..,,..,,260,,220,,340,,440,,..,,..,,420,,..,,..,,..,,..,,..,,..,,0.067,,0.203,,..,,..,,0.284,,0.280,,0.280,
Sweden,..,,..,,..,,..,,8.9,,8.1,,..,,..,,7.7,,..,,7.7,,..,,..,,..,,0.076,,0.073,,0.065,,..,,..,,..,,..,,0.049,,0.795,,0.849,,0.876,,0.868,,0.871,,0.874,,0.873,,0.877,,0.875,,0.875,,..,,0.922,,0.951,,0.970,,0.983,,1.005,,1.016,,..,,..,,..,,..,,..,,..,,..,,7,,5,,5,,4,,..,,..,,5,,..,,..,,..,,..,,..,,..,,0.745,,0.827,,..,,..,,0.886,,0.866,,0.818,
Switzerland,..,,..,,..,,..,,5.7,,5.3,,..,,..,,5.5,,..,,5.5,,..,,..,,..,,0.109,,0.100,,0.084,,..,,..,,..,,..,,0.067,,0.673,,0.684,,0.702,,0.710,,0.744,,0.791,,0.794,,0.793,,0.816,,0.822,,..,,0.908,,0.839,,0.822,,0.812,,0.800,,0.842,,..,,..,,..,,..,,..,,..,,..,,8,,8,,7,,8,,..,,..,,10,,..,,..,,..,,..,,..,,..,,0.288,,0.330,,..,,..,,0.374,,0.382,,0.382,
Syrian Arab Republic,..,,..,,..,,..,,51.9,,45.5,,..,,..,,61.1,,..,,61.1,,..,,..,,..,,0.537,,..,,0.497,,..,,..,,..,,..,,0.474,,0.160,,0.173,,0.223,,0.282,,0.254,,0.253,,0.256,,0.260,,0.262,,0.265,,..,,0.309,,0.450,,0.622,,0.852,,1.077,,0.922,,..,,..,,..,,..,,..,,..,,..,,120,,77,,58,,50,,..,,..,,46,,..,,..,,..,,..,,..,,..,,..,,0.136,,..,,..,,0.142,,0.142,,0.142,
Tajikistan,..,,..,,..,,..,,35.8,,31.5,,..,,..,,28.4,,..,,28.4,,..,,..,,..,,0.557,,0.439,,0.368,,..,,..,,..,,..,,0.347,,0.734,,0.731,,0.732,,0.657,,0.666,,0.712,,0.717,,0.722,,0.725,,0.734,,..,,0.759,,0.814,,0.852,,0.899,,0.932,,0.973,,..,,..,,..,,..,,..,,..,,..,,120,,170,,120,,75,,..,,..,,64,,..,,..,,..,,..,,..,,..,,0.162,,0.244,,..,,..,,0.244,,0.244,,0.213,
Tanzania (United Republic of),..,,..,,..,,..,,133.3,,132.0,,..,,..,,130.4,,..,,130.4,,..,,..,,..,,0.648,,..,,0.606,,..,,..,,..,,..,,0.590,,0.948,,0.950,,0.952,,0.956,,0.958,,0.956,,0.955,,0.954,,0.954,,0.953,,..,,0.265,,0.314,,0.355,,0.413,,0.531,,0.566,,..,,..,,..,,..,,..,,..,,..,,880,,920,,920,,860,,..,,..,,790,,..,,..,,..,,..,,..,,..,,..,,0.437,,..,,..,,0.437,,0.442,,0.563,
Thailand,..,,..,,..,,..,,45.8,,43.6,,..,,..,,37.3,,..,,37.3,,..,,..,,..,,0.448,,0.454,,0.404,,..,,..,,..,,..,,0.382,,0.869,,0.864,,0.863,,0.796,,0.813,,0.816,,0.806,,0.811,,0.813,,0.811,,..,,0.524,,0.586,,0.650,,0.668,,0.714,,0.766,,..,,..,,..,,..,,..,,..,,..,,50,,52,,63,,51,,..,,..,,48,,..,,..,,..,,..,,..,,..,,0.073,,0.118,,..,,..,,0.145,,0.162,,0.162,
The former Yugoslav Republic of Macedonia,..,,..,,..,,..,,33.4,,26.3,,..,,..,,21.7,,..,,21.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.151,,0.697,,0.685,,0.679,,0.645,,0.625,,0.657,,0.629,,0.644,,0.645,,0.659,,..,,..,,..,,..,,..,,0.723,,..,,..,,..,,..,,..,,..,,..,,..,,16,,14,,15,,10,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,0.237,,..,,..,,0.463,,0.481,,0.481,
Timor-Leste,..,,..,,..,,..,,71.9,,70.1,,..,,..,,53.8,,..,,53.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.713,,0.704,,0.706,,0.697,,0.699,,0.712,,0.713,,0.713,,0.712,,0.712,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,650,,590,,520,,420,,..,,..,,370,,..,,..,,..,,..,,..,,..,,..,,0.338,,..,,..,,0.413,,0.413,,0.413,
Togo,..,,..,,..,,..,,93.9,,78.9,,..,,..,,64.8,,..,,64.8,,..,,..,,..,,0.746,,..,,0.640,,..,,..,,..,,..,,0.602,,0.625,,0.630,,0.642,,0.670,,0.695,,0.721,,0.726,,0.732,,0.737,,0.743,,..,,0.299,,0.294,,0.314,,0.317,,0.326,,0.331,,..,,..,,..,,..,,..,,..,,..,,650,,550,,450,,380,,..,,..,,350,,..,,..,,..,,..,,..,,..,,..,,0.080,,..,,..,,0.125,,0.125,,0.125,
Tonga,..,,..,,..,,..,,22.5,,21.3,,..,,..,,22.8,,..,,22.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.555,,0.558,,0.556,,0.554,,0.642,,0.711,,0.712,,0.711,,0.710,,0.731,,..,,0.904,,0.924,,0.910,,0.955,,0.983,,0.981,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.001,,0.036,,..,,..,,0.032,,0.032,,0.037,
Trinidad and Tobago,..,,..,,..,,..,,42.1,,35.4,,..,,..,,34.6,,..,,34.6,,..,,..,,..,,0.416,,..,,0.337,,..,,..,,..,,..,,0.331,,0.527,,0.536,,0.508,,0.593,,0.613,,0.702,,0.707,,0.682,,0.698,,0.705,,..,,0.985,,1.000,,1.011,,1.019,,1.012,,1.014,,..,,..,,..,,..,,..,,..,,..,,86,,90,,59,,55,,..,,..,,55,,..,,..,,..,,..,,..,,..,,..,,0.340,,..,,..,,0.500,,0.500,,0.377,
Tunisia,..,,..,,..,,..,,8.4,,6.5,,..,,..,,6.9,,..,,6.9,,..,,..,,..,,0.424,,..,,0.335,,..,,..,,..,,..,,0.293,,0.237,,0.255,,0.275,,0.305,,0.330,,0.351,,0.355,,0.357,,0.359,,0.362,,..,,0.345,,0.383,,0.449,,0.501,,0.552,,0.619,,..,,..,,..,,..,,..,,..,,..,,130,,110,,83,,67,,..,,..,,60,,..,,..,,..,,..,,..,,..,,..,,0.239,,..,,..,,0.249,,0.304,,..,
