,"Adult literacy rate, both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,Combined gross enrolment in education (both sexes),,,,,,,,,,,,,,,,,,,,,,,,,,HDI: Expected Years of Schooling (of children),,,,,,,,,,,,,,,,,,,,,,,,,,HDI: Mean years of schooling (of adults),,,,,,,,,,,,,,,,,,,,,,,,,,Public expenditure on education (% of GDP),,,,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,a,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,b,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,c,2007,c,2008,c,2009,c,2010,,2011,,9999,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,9999,a
Country,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(% aged 15 and above),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(years),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),,(%),
Cambodia,..,,..,,..,,..,,..,,..,,..,,..,,77.6,,..,,..,,..,,77.6,,..,,52.6,,39.1,,42.0,,50.3,,..,,58.6,,58.1,,..,,..,,..,,..,,58.1,,6.1,,6.1,,6.1,,6.5,,7.5,,9.7,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,9.8,,5.0,,5.2,,5.3,,5.5,,5.7,,5.7,,5.7,,5.7,,5.7,,5.8,,5.8,,5.8,b,5.8,,..,,..,,..,,..,,1.7,,1.7,,2.0,,1.6,,1.6,,2.1,,..,,..,,2.1,
Cameroon,..,,..,,..,,..,,68.4,,..,,..,,70.7,,..,,..,,..,,..,,70.7,,37.7,,40.2,,40.3,,..,,..,,52.4,d,50.8,k,..,,57.5,,60.4,,..,,..,,60.4,,6.9,,7.4,,7.9,,7.5,,7.6,,8.9,,8.7,,9.2,,9.8,,10.3,,10.3,,10.3,,10.3,,2.1,,2.8,,3.4,,4.1,,4.8,,5.4,,5.5,,5.6,,5.7,,5.8,,5.9,,5.9,b,5.9,,2.6,,3.1,,..,,..,,1.9,,3.1,,3.0,,3.3,,3.0,,3.7,,..,,..,,3.7,
Canada,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,63.6,,62.5,,93.4,,..,,..,,..,,..,,..,,..,,..,,..,d,15.6,,15.6,,16.7,,16.9,,15.9,,16.0,,16.0,,16.0,,16.0,,16.0,,16.0,,16.0,,16.0,,9.5,,9.9,,10.3,,10.7,,11.1,,11.3,,11.5,,11.6,,11.8,,12.0,,12.1,,12.1,"b,h",12.1,,6.8,,6.5,,..,,..,,5.6,,4.9,,..,,4.9,,..,,..,,..,,..,,4.9,
Cape Verde,..,,..,,62.8,,..,,..,,..,,..,,..,,..,,84.8,,..,,..,,84.8,,..,,..,,50.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.8,,7.8,,7.8,,9.4,,10.9,,11.1,,11.9,,11.7,,11.7,,11.6,,11.6,,11.6,,11.6,,..,,..,,..,,..,,3.5,,3.5,,3.5,,3.5,,3.5,,3.5,,3.5,,3.5,"b,l",3.5,,..,,..,,..,,..,,..,,..,,6.5,,6.1,,6.4,,5.9,,..,,..,,5.9,
Central African Republic,..,,..,,..,,..,,50.6,,..,,..,,..,,..,,55.2,,..,,..,,55.2,,28.5,,31.0,d,28.7,,..,,..,,30.3,,..,,..,,38.5,,39.6,,..,,..,,39.6,d,5.1,,5.8,,5.3,,4.7,,5.6,,5.8,,6.0,,6.1,,6.3,,6.6,,6.6,,6.6,,6.6,,1.0,,1.5,,2.0,,2.4,,2.8,,3.2,,3.3,,3.4,,3.4,,3.5,,3.5,,3.5,b,3.5,,..,,2.1,,..,,..,,1.5,,1.6,,1.4,,1.3,,1.3,,1.3,,..,,..,,1.3,
Chad,..,,..,,..,,..,,25.7,,..,,..,,..,,..,,33.6,,..,,..,,33.6,,..,,14.3,,..,,..,,31.0,,37.1,d,37.2,d,37.9,d,42.6,d,45.6,,..,,..,,45.6,,2.5,,2.5,,3.2,,3.6,,4.9,,6.0,,6.0,,6.2,,6.7,,7.2,,7.2,,7.2,,7.2,,..,,..,,..,,..,,1.5,,1.5,,1.5,,1.5,,1.5,,1.5,,1.5,,1.5,"b,l",1.5,,..,,..,,..,,..,,2.6,,2.1,,..,,..,,..,,3.2,,..,,..,,3.2,
Chile,..,,..,,..,,..,,..,,..,,..,,..,,98.6,,98.6,,..,,..,,98.6,,44.4,,42.6,,..,,..,,77.7,,82.9,,82.5,,84.0,,84.7,,..,,..,,..,,84.7,,11.3,,12.0,,12.8,,12.1,,12.9,,14.1,,14.0,,14.5,,14.7,,14.7,,14.7,,14.7,,14.7,,6.4,,7.3,,8.1,,8.4,,8.8,,9.3,,9.4,,9.5,,9.5,,9.6,,9.7,,9.7,b,9.7,,4.5,,3.8,,..,,..,,3.9,,3.4,,3.2,,3.4,,4.0,,..,,..,,..,,4.0,
China,..,,..,,77.8,,..,,90.9,,..,,..,,..,,..,,94.0,,..,,..,,94.0,,43.6,,38.9,,35.6,,39.0,,..,,..,d,66.6,d,67.4,d,68.0,d,68.7,d,..,,..,,68.7,d,8.3,,8.2,,8.9,,9.1,,9.8,,10.7,,10.9,,11.2,,11.4,,11.6,,11.6,,11.6,,11.6,,3.7,,4.3,,4.9,,5.7,,6.6,,7.1,,7.2,,7.3,,7.4,,7.4,,7.5,,7.5,b,7.5,,2.5,,2.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Colombia,..,,..,,..,,..,,..,,92.8,,92.3,,92.7,,93.4,,93.2,,..,,..,,93.2,,41.4,,39.0,,39.8,,42.1,,73.5,d,79.0,,80.8,,82.1,,83.2,,85.1,,..,,..,,85.1,,8.9,,8.9,,9.3,,10.3,,11.6,,12.5,,12.9,,13.1,,13.3,,13.6,,13.6,,13.6,,13.6,,4.3,,4.8,,5.5,,6.1,,6.5,,6.7,,6.8,,7.0,,7.1,,7.2,,7.3,,7.3,b,7.3,,1.9,,2.8,,..,,..,,3.7,,4.0,,3.9,,4.1,,3.9,,4.8,,..,,..,,4.8,
Comoros,47.9,,..,,..,,..,,68.5,,..,,..,,..,,..,,74.2,,..,,..,,74.2,,..,,..,,36.4,,..,,51.6,,61.0,d,..,,..,,..,,..,,..,,..,,61.0,d,7.2,,7.2,,7.2,,7.6,,8.8,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,10.7,,..,,..,,..,,..,,..,,2.8,,2.8,,2.8,,2.8,,2.8,,2.8,,2.8,"b,l",2.8,,..,,..,,..,,..,,..,,..,,..,,..,,7.6,,..,,..,,..,,7.6,
