,IHDI: Income Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted HDI value,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted education index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted income index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Inequality-adjusted life expectancy index,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in education,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in income,,,,,,,,,,,,,,,,,,,,,,,,,,IHDI: Loss due to inequality in life expectancy,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,..,,..,,..,,..,,..,,..,,39.0,,..,,..,,..,,..,,..,,39.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.170,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.266,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,36.9,,36.9,,36.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.4,e,..,,25.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,50.1,,46.3,,50.1,
Malta,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.892,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.6,,5.1,,5.6,
Marshall Islands,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.1,,..,,8.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Mauritania,..,,..,,..,,..,,39.0,,..,,..,,..,,..,,..,,..,,..,,39.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.298,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.208,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.329,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.389,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,43.2,,43.2,,43.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.5,e,21.5,,21.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,38.9,,36.2,,38.9,
Mauritius,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.631,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.570,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.581,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.760,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.4,,9.8,,11.4,
Mexico,..,,..,,..,,..,,..,,..,,..,,..,,51.7,,..,,..,,..,,51.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.589,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.567,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.451,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.801,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.9,,21.9,,17.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,31.6,f,35.6,,31.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.3,,10.9,,12.3,
Micronesia (Federated States of),..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.390,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.534,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.179,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.624,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,22.4,,22.4,,22.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,63.1,f,63.1,,63.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.5,,19.2,,20.5,
Moldova (Republic of),..,,..,,..,,..,,..,,..,,..,,..,,38.0,,..,,..,,..,,38.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.569,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.673,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.397,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.691,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.5,,6.1,,7.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.4,e,18.9,,19.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.1,,11.2,,13.1,
Monaco,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Mongolia,..,,..,,..,,33.2,,..,,..,,..,,..,,36.5,,..,,..,,..,,36.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.563,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.680,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.422,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.622,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.8,,5.8,,5.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.4,e,16.4,,16.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,22.6,,18.8,,22.6,
Montenegro,..,,..,,..,,..,,..,,..,,..,,..,,30.0,,..,,..,,..,,30.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.718,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.782,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.589,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.803,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.6,,2.5,,9.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.6,h,11.3,,12.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.3,,6.8,,7.3,
Morocco,..,,39.2,,..,,..,,..,,..,,..,,40.9,,..,,..,,..,,..,,40.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.409,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.242,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.412,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.685,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,42.7,,45.8,,42.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,20.7,e,23.0,,20.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18.3,,16.7,,18.3,
Mozambique,..,,..,,..,,..,,..,,..,,..,,..,,45.6,,..,,..,,..,,45.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.229,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.181,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.233,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.282,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,28.2,,18.2,,28.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,58.1,e,25.8,,58.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,45.7,,40.8,,45.7,
Myanmar,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.533,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,38.2,,25.3,,38.2,
Namibia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.353,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.445,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.187,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.528,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,27.8,,27.8,,27.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,68.3,h,68.3,,68.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,24.5,,21.1,,24.5,
Nauru,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Nepal,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,47.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.301,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.201,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.220,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.620,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,43.3,,43.6,,43.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,26.4,e,37.4,,26.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,24.3,,19.5,,24.3,
Netherlands,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.846,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.895,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.739,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.917,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.0,,3.9,,4.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.3,f,12.5,,15.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.6,,4.3,,4.6,
New Zealand,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.907,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.0,,5.2,,5.0,
Nicaragua,..,,..,,..,,..,,..,,52.3,,..,,..,,..,,..,,..,,..,,52.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.427,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.350,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.303,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.734,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,33.3,,33.3,,33.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,23.8,e,33.6,,23.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.6,,13.9,,15.6,
Niger,..,,..,,..,,..,,..,,..,,..,,34.0,,..,,..,,..,,..,,34.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.195,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.107,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.218,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.314,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,31.3,,39.5,,31.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.1,h,17.9,,21.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,46.8,,42.6,,46.8,
Nigeria,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,42.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.278,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.247,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.309,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.283,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,46.0,,44.2,,46.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,25.1,e,28.8,,25.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,51.1,,43.8,,51.1,
Norway,..,,..,,..,,..,,25.8,,..,,..,,..,,..,,..,,..,,..,,25.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.890,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.964,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.789,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.928,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.4,,2.2,,2.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.1,f,10.6,,13.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.0,,3.7,,4.0,
Occupied Palestinian Territory,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.725,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.0,,13.1,,12.0,
Oman,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.776,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.0,,7.2,,9.0,
Pakistan,..,,..,,..,,..,,..,,..,,32.7,,..,,..,,..,,..,,..,,32.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.346,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.207,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.413,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.485,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,46.4,,46.4,,46.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.6,e,11.0,,10.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,32.9,,32.3,,32.9,
Palau,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.2,,..,,11.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Panama,..,,..,,..,,57.1,,..,,..,,..,,..,,..,,52.3,,..,,..,,52.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.579,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.611,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.410,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.776,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.9,,17.8,,9.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,52.6,f,40.5,,52.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.6,,12.4,,13.6,
Papua New Guinea,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.505,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,28.5,,25.2,,28.5,
Paraguay,..,,..,,39.7,,59.1,,..,,..,,..,,..,,52.0,,..,,..,,..,,52.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.505,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.515,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.368,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.680,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.8,,19.8,,19.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,33.4,f,33.4,,33.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19.9,,17.8,,19.9,
Peru,..,,..,,43.9,,..,,..,,..,,..,,..,,..,,48.0,,..,,..,,48.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.557,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.535,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.444,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.726,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,30.2,,24.0,,30.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,42.7,e,30.0,,42.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.5,,14.8,,16.5,
Philippines,..,,41.0,,..,,..,,..,,..,,44.0,,..,,..,,..,,..,,..,,44.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.516,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.592,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.356,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.652,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.9,,13.5,,12.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,28.0,e,30.0,,28.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.0,,15.2,,15.0,
Poland,..,,25.2,,..,,..,,..,,..,,..,,..,,34.2,,..,,..,,..,,34.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.734,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.768,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.619,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.834,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.1,,6.6,,7.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18.4,f,16.3,,18.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.4,,5.8,,6.4,
Portugal,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.726,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.697,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.616,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.893,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.7,,5.6,,5.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,23.9,f,19.3,,23.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.8,,4.9,,4.8,
Qatar,..,,..,,..,,..,,..,,..,,..,,41.1,,..,,..,,..,,..,,41.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.854,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.4,,7.2,,7.4,
Romania,..,,..,,..,,..,,..,,..,,..,,..,,31.2,,..,,..,,..,,31.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.683,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.789,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.524,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.770,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.1,,5.0,,13.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.2,e,22.2,,12.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.9,,9.6,,10.9,
Russian Federation,..,,..,,..,,..,,..,,..,,..,,..,,42.3,,..,,..,,..,,42.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.670,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.696,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.628,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.687,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.2,,11.2,,11.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.9,e,11.9,,11.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.5,,10.8,,11.5,
Rwanda,..,,28.9,,..,,..,,..,,53.1,,..,,..,,..,,..,,..,,..,,53.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.276,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.282,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.228,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.328,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,30.7,,30.7,,30.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,31.5,e,34.5,,31.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,47.4,,41.3,,47.4,
Saint Kitts and Nevis,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Saint Lucia,..,,..,,..,,42.6,,..,,..,,..,,..,,..,,..,,..,,..,,42.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.773,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10.3,,10.4,,10.3,
