,"Population, female (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, male (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, total both sexes (thousands)",,,,,,,,,,,,,,,,,,,,,,,,"Population, urban (%)",,,,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,1980,,1985,,1990,a,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2010,a,2011,a
Country,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(thousands),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),,(% of population),
Mozambique,"6,206.01",,"6,833.91",,"7,072.19",,"8,332.40",,"9,458.79",,"10,728.27",,"10,984.05",,"11,238.96",,"11,493.98",,"11,750.68",,"12,010.34",,"12,273.16",,"5,939.49",,"6,501.06",,"6,474.88",,"7,601.05",,"8,741.87",,"10,041.75",,"10,306.90",,"10,572.36",,"10,838.92",,"11,107.93",,"11,380.42",,"11,656.55",,"12,145.5",,"13,335.0",,"13,547.1",,"15,933.5",,"18,200.7",,"20,770.0",,"21,291.0",,"21,811.3",,"22,332.9",,"22,858.6",,"23,390.8",,"23,929.7",,13.1,,16.7,,21.1,,26.2,,30.7,,34.5,,35.3,,36.1,,36.9,,37.6,,38.4,,39.2,
Myanmar,"16,547.25",,"18,180.09",,"19,763.49",,"21,205.98",,"22,607.81",,"23,433.66",,"23,597.49",,"23,769.25",,"23,948.65",,"24,133.81",,"24,323.13",,"24,517.41",,"16,317.66",,"17,947.65",,"19,504.82",,"20,927.22",,"22,349.85",,"22,887.50",,"23,007.79",,"23,146.58",,"23,301.67",,"23,467.57",,"23,639.89",,"23,819.35",,"32,864.9",,"36,127.7",,"39,268.3",,"42,133.2",,"44,957.7",,"46,321.2",,"46,605.3",,"46,915.8",,"47,250.3",,"47,601.4",,"47,963.0",,"48,336.8",,24.0,,24.1,,24.7,,25.9,,27.8,,30.4,,31.0,,31.7,,32.3,,33.0,,33.6,,34.3,
Namibia,518.28,,590.90,,722.63,,840.02,,960.50,,"1,050.60",,"1,069.43",,"1,089.01",,"1,109.11",,"1,129.31",,"1,149.30",,"1,169.05",,494.54,,559.14,,692.20,,811.33,,935.34,,"1,029.35",,"1,049.22",,"1,069.97",,"1,091.31",,"1,112.76",,"1,133.99",,"1,154.96",,"1,012.8",,"1,150.0",,"1,414.8",,"1,651.4",,"1,895.8",,"2,080.0",,"2,118.7",,"2,159.0",,"2,200.4",,"2,242.1",,"2,283.3",,"2,324.0",,25.1,,26.4,,27.7,,29.8,,32.4,,35.1,,35.6,,36.2,,36.8,,37.4,,38.0,,38.6,
Nauru,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.5,,8.2,,9.2,,10.0,,10.0,,10.1,,10.1,,10.2,,10.2,,10.2,,10.3,,10.3,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,
Nepal,"7,362.18",,"8,315.28",,"9,406.31",,"10,803.03",,"12,245.41",,"13,735.22",,"14,017.57",,"14,292.66",,"14,562.43",,"14,829.84",,"15,097.15",,"15,364.73",,"7,683.15",,"8,620.73",,"9,674.76",,"10,791.85",,"12,155.20",,"13,546.73",,"13,816.10",,"14,081.18",,"14,342.93",,"14,602.90",,"14,862.22",,"15,121.07",,"15,045.3",,"16,936.0",,"19,081.1",,"21,594.9",,"24,400.6",,"27,281.9",,"27,833.7",,"28,373.8",,"28,905.4",,"29,432.7",,"29,959.4",,"30,485.8",,6.1,,7.4,,8.9,,10.9,,13.4,,15.9,,16.4,,17.0,,17.5,,18.1,,18.6,,19.2,
Netherlands,"7,095.25",,"7,303.67",,"7,533.42",,"7,795.27",,"8,016.74",,"8,239.40",,"8,272.53",,"8,300.79",,"8,325.30",,"8,347.79",,"8,369.55",,"8,390.91",,"6,993.03",,"7,149.27",,"7,358.30",,"7,626.90",,"7,846.08",,"8,066.06",,"8,105.43",,"8,142.70",,"8,177.96",,"8,211.48",,"8,243.44",,"8,273.84",,"14,088.3",,"14,452.9",,"14,891.7",,"15,422.2",,"15,862.8",,"16,305.5",,"16,378.0",,"16,443.5",,"16,503.3",,"16,559.3",,"16,613.0",,"16,664.7",,64.7,,66.7,,68.7,,72.8,,76.8,,80.2,,80.8,,81.3,,81.9,,82.4,,82.9,,83.3,
New Zealand,"1,582.18",,"1,649.12",,"1,724.83",,"1,863.34",,"1,964.02",,"2,108.82",,"2,134.33",,"2,157.74",,"2,179.72",,"2,201.31",,"2,223.28",,"2,245.77",,"1,565.00",,"1,619.59",,"1,673.15",,"1,811.72",,"1,894.02",,"2,025.30",,"2,050.58",,"2,074.72",,"2,098.09",,"2,121.32",,"2,144.86",,"2,168.74",,"3,147.2",,"3,268.7",,"3,398.0",,"3,675.1",,"3,858.0",,"4,134.1",,"4,184.9",,"4,232.5",,"4,277.8",,"4,322.6",,"4,368.1",,"4,414.5",,83.4,,83.7,,84.7,,85.3,,85.7,,86.1,,86.1,,86.1,,86.1,,86.2,,86.2,,86.2,
Nicaragua,"1,619.01",,"1,848.25",,"2,065.69",,"2,328.05",,"2,548.62",,"2,731.18",,"2,768.02",,"2,805.58",,"2,844.07",,"2,883.71",,"2,924.58",,"2,966.85",,"1,623.18",,"1,848.42",,"2,055.11",,"2,308.99",,"2,525.09",,"2,693.16",,"2,725.51",,"2,758.08",,"2,791.51",,"2,826.52",,"2,863.58",,"2,903.01",,"3,242.2",,"3,696.7",,"4,120.8",,"4,637.0",,"5,073.7",,"5,424.3",,"5,493.5",,"5,563.7",,"5,635.6",,"5,710.2",,"5,788.2",,"5,869.9",,49.9,,51.1,,52.3,,53.5,,54.7,,55.9,,56.2,,56.4,,56.7,,57.0,,57.3,,57.6,
Niger,"2,944.66",,"3,403.10",,"3,945.84",,"4,621.57",,"5,454.20",,"6,472.98",,"6,702.44",,"6,941.07",,"7,188.74",,"7,445.16",,"7,710.24",,"7,983.92",,"2,926.37",,"3,340.40",,"3,842.36",,"4,557.01",,"5,468.22",,"6,520.91",,"6,757.70",,"7,004.59",,"7,261.27",,"7,527.09",,"7,801.71",,"8,085.08",,"5,871.0",,"6,743.5",,"7,788.2",,"9,178.6",,"10,922.4",,"12,993.9",,"13,460.1",,"13,945.7",,"14,450.0",,"14,972.3",,"15,512.0",,"16,069.0",,13.4,,14.5,,15.4,,15.8,,16.2,,16.6,,16.7,,16.8,,16.9,,17.0,,17.1,,17.2,
Nigeria,"37,567.66",,"42,681.52",,"48,455.97",,"54,581.24",,"61,272.20",,"69,142.29",,"70,857.56",,"72,620.67",,"74,433.93",,"76,300.36",,"78,222.18",,"80,199.30",,"37,975.73",,"43,147.18",,"49,096.08",,"55,433.45",,"62,416.34",,"70,681.05",,"72,481.38",,"74,330.81",,"76,231.81",,"78,187.72",,"80,201.00",,"82,271.44",,"75,543.4",,"85,828.7",,"97,552.1",,"110,014.7",,"123,688.5",,"139,823.3",,"143,338.9",,"146,951.5",,"150,665.7",,"154,488.1",,"158,423.2",,"162,470.7",,28.6,,31.8,,35.3,,38.9,,42.5,,46.2,,46.9,,47.6,,48.4,,49.1,,49.8,,50.5,
Norway,"2,060.90",,"2,099.29",,"2,144.34",,"2,203.61",,"2,266.59",,"2,330.59",,"2,350.18",,"2,372.52",,"2,396.22",,"2,419.28",,"2,440.29",,"2,458.75",,"2,024.72",,"2,053.27",,"2,097.15",,"2,155.49",,"2,224.27",,"2,292.71",,"2,318.63",,"2,349.50",,"2,382.74",,"2,414.72",,"2,442.82",,"2,466.10",,"4,085.6",,"4,152.6",,"4,241.5",,"4,359.1",,"4,490.9",,"4,623.3",,"4,668.8",,"4,722.0",,"4,779.0",,"4,834.0",,"4,883.1",,"4,924.8",,70.5,,71.3,,72.0,,73.8,,76.1,,77.5,,77.9,,78.3,,78.7,,79.0,,79.4,,79.8,h
Occupied Palestinian Territory,747.04,,869.88,,"1,027.97",,"1,280.81",,"1,576.56",,"1,751.54",,"1,791.85",,"1,836.33",,"1,884.64",,"1,935.82",,"1,989.18",,"2,044.84",,763.32,,889.88,,"1,053.45",,"1,315.48",,"1,622.00",,"1,804.04",,"1,845.84",,"1,891.93",,"1,941.91",,"1,994.85",,"2,050.01",,"2,107.53",,"1,510.4",,"1,759.8",,"2,081.4",,"2,596.3",,"3,198.6",,"3,555.6",,"3,637.7",,"3,728.3",,"3,826.5",,"3,930.7",,"4,039.2",,"4,152.4",,62.4,,65.2,,67.9,,70.4,,72.0,,73.1,,73.3,,73.5,,73.7,,73.9,,74.1,,74.4,
Oman,560.36,,709.26,,831.20,,912.07,,996.92,,"1,091.46",,"1,104.22",,"1,114.39",,"1,123.69",,"1,134.56",,"1,148.71",,"1,166.75",,620.98,,829.32,,"1,036.86",,"1,319.95",,"1,267.24",,"1,338.05",,"1,386.40",,"1,446.80",,"1,513.27",,"1,577.58",,"1,633.73",,"1,679.40",,"1,181.3",,"1,538.6",,"1,868.1",,"2,232.0",,"2,264.2",,"2,429.5",,"2,490.6",,"2,561.2",,"2,637.0",,"2,712.1",,"2,782.4",,"2,846.1",,47.6,,57.1,,66.1,,71.7,,71.6,,71.9,,72.1,,72.3,,72.6,,72.8,,73.0,,73.3,
Pakistan,"38,591.70",,"46,045.76",,"54,185.17",,"61,888.84",,"70,431.46",,"77,679.88",,"79,162.99",,"80,679.20",,"82,223.55",,"83,785.43",,"85,356.41",,"86,937.25",,"41,900.96",,"49,424.63",,"57,659.51",,"65,457.88",,"74,090.73",,"80,965.58",,"82,350.33",,"83,766.40",,"85,218.71",,"86,708.94",,"88,236.98",,"89,808.11",,"80,492.7",,"95,470.4",,"111,844.7",,"127,346.7",,"144,522.2",,"158,645.5",,"161,513.3",,"164,445.6",,"167,442.3",,"170,494.4",,"173,593.4",,"176,745.4",,28.1,,29.3,,30.6,,31.8,,33.1,,34.5,,34.8,,35.0,,35.3,,35.6,,35.9,,36.2,
Palau,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.2,,13.7,,15.1,,17.3,,19.2,,19.9,,20.0,,20.1,,20.2,,20.3,,20.5,,20.6,,62.5,,67.4,,69.6,,71.4,,70.0,,77.7,,79.0,,80.2,,81.4,,82.4,,83.4,,84.3,
Panama,961.31,,"1,074.62",,"1,194.20",,"1,325.86",,"1,464.85",,"1,605.88",,"1,633.99",,"1,662.00",,"1,689.87",,"1,717.55",,"1,745.00",,"1,772.19",,991.72,,"1,105.00",,"1,221.73",,"1,351.07",,"1,491.28",,"1,632.44",,"1,660.60",,"1,688.67",,"1,716.61",,"1,744.35",,"1,771.82",,"1,799.00",,"1,953.0",,"2,179.6",,"2,415.9",,"2,676.9",,"2,956.1",,"3,238.3",,"3,294.6",,"3,350.7",,"3,406.5",,"3,461.9",,"3,516.8",,"3,571.2",,50.4,,52.1,,53.9,,60.0,,65.8,,70.8,,71.7,,72.5,,73.3,,74.1,,74.8,,75.5,
Papua New Guinea,"1,558.92",,"1,791.30",,"2,031.48",,"2,310.11",,"2,636.53",,"2,987.20",,"3,060.26",,"3,134.24",,"3,208.98",,"3,284.28",,"3,359.98",,"3,436.01",,"1,656.42",,"1,886.36",,"2,126.17",,"2,405.51",,"2,742.30",,"3,108.23",,"3,184.66",,"3,262.07",,"3,340.29",,"3,419.08",,"3,498.29",,"3,577.82",,"3,215.3",,"3,677.7",,"4,157.7",,"4,715.6",,"5,378.8",,"6,095.4",,"6,244.9",,"6,396.3",,"6,549.3",,"6,703.4",,"6,858.3",,"7,013.8",,13.0,,14.0,,15.0,,14.1,,13.2,,12.6,,12.5,,12.5,,12.5,,12.5,,12.5,,12.6,
Paraguay,"1,583.92",,"1,829.62",,"2,099.57",,"2,371.35",,"2,640.27",,"2,916.26",,"2,972.08",,"3,028.07",,"3,084.34",,"3,141.01",,"3,198.17",,"3,255.81",,"1,610.85",,"1,868.84",,"2,144.29",,"2,424.01",,"2,703.27",,"2,981.56",,"3,036.52",,"3,091.22",,"3,145.90",,"3,200.88",,"3,256.38",,"3,312.48",,"3,194.8",,"3,698.5",,"4,243.9",,"4,795.4",,"5,343.5",,"5,897.8",,"6,008.6",,"6,119.3",,"6,230.2",,"6,341.9",,"6,454.5",,"6,568.3",,41.7,,45.0,,48.7,,52.1,,55.3,,58.5,,59.1,,59.7,,60.3,,60.9,,61.5,,62.1,
Peru,"8,590.00",,"9,682.90",,"10,804.29",,"11,871.40",,"12,889.39",,"13,742.25",,"13,897.47",,"14,048.86",,"14,198.87",,"14,350.64",,"14,506.39",,"14,667.24",,"8,696.84",,"9,777.21",,"10,881.25",,"11,955.76",,"12,972.50",,"13,816.52",,"13,968.92",,"14,117.22",,"14,264.47",,"14,414.52",,"14,570.12",,"14,732.58",,"17,286.8",,"19,460.1",,"21,685.5",,"23,827.2",,"25,861.9",,"27,558.8",,"27,866.4",,"28,166.1",,"28,463.3",,"28,765.2",,"29,076.5",,"29,399.8",,64.6,,66.9,,68.9,,71.0,,73.0,,75.0,,75.4,,75.8,,76.2,,76.6,,76.9,,77.3,
Philippines,"23,249.36",,"26,713.37",,"30,481.87",,"34,303.46",,"38,353.25",,"42,527.13",,"43,329.72",,"44,117.64",,"44,898.24",,"45,682.13",,"46,477.05",,"47,285.31",,"23,814.56",,"27,339.48",,"31,146.80",,"34,951.92",,"38,956.72",,"43,019.30",,"43,786.56",,"44,534.99",,"45,274.90",,"46,020.96",,"46,783.75",,"47,566.72",,"47,063.9",,"54,052.8",,"61,628.7",,"69,255.4",,"77,310.0",,"85,546.4",,"87,116.3",,"88,652.6",,"90,173.1",,"91,703.1",,"93,260.8",,"94,852.0",,37.5,,43.0,,48.6,,48.3,,48.0,,48.1,,48.2,,48.3,,48.5,,48.7,,48.9,,49.1,
Poland,"18,243.53",,"19,057.47",,"19,524.10",,"19,735.58",,"19,732.99",,"19,703.19",,"19,715.78",,"19,736.30",,"19,761.65",,"19,787.30",,"19,809.89",,"19,828.27",,"17,333.68",,"18,144.33",,"18,532.08",,"18,656.20",,"18,569.45",,"18,461.85",,"18,454.55",,"18,453.46",,"18,456.81",,"18,461.92",,"18,466.78",,"18,470.68",,"35,577.2",,"37,201.8",,"38,056.2",,"38,391.8",,"38,302.4",,"38,165.0",,"38,170.3",,"38,189.8",,"38,218.5",,"38,249.2",,"38,276.7",,"38,298.9",,58.1,,59.9,,61.3,,61.5,,61.7,,61.5,,61.3,,61.2,,61.1,,61.0,,61.0,,60.9,
Portugal,"5,076.35",,"5,160.44",,"5,144.53",,"5,244.15",,"5,347.47",,"5,442.31",,"5,458.17",,"5,472.61",,"5,485.32",,"5,495.97",,"5,504.29",,"5,510.16",,"4,709.58",,"4,801.82",,"4,780.95",,"4,880.79",,"4,988.74",,"5,101.36",,"5,119.46",,"5,135.43",,"5,149.29",,"5,161.21",,"5,171.29",,"5,179.51",,"9,785.9",,"9,962.3",,"9,925.5",,"10,124.9",,"10,336.2",,"10,543.7",,"10,577.6",,"10,608.0",,"10,634.6",,"10,657.2",,"10,675.6",,"10,689.7",,42.8,,45.3,,47.9,,51.1,,54.4,,57.6,,58.2,,58.9,,59.5,,60.1,,60.7,,61.3,
Qatar,81.75,,121.50,,156.14,,170.97,,206.15,,268.30,,295.89,,329.16,,364.96,,398.91,,427.85,,450.58,,139.84,,246.51,,317.59,,330.40,,384.81,,552.69,,682.45,,849.03,,"1,031.10",,"1,198.85",,"1,330.94",,"1,419.47",,221.6,,368.0,,473.7,,501.4,,591.0,,821.0,,978.3,,"1,178.2",,"1,396.1",,"1,597.8",,"1,758.8",,"1,870.0",,89.4,,90.1,,92.2,,94.1,,94.9,,95.4,,95.5,,95.6,,95.7,,95.8,,95.8,,95.9,
Romania,"11,247.75",,"11,510.52",,"11,757.58",,"11,556.98",,"11,350.74",,"11,172.18",,"11,144.84",,"11,120.56",,"11,098.59",,"11,077.88",,"11,057.56",,"11,037.36",,"10,953.64",,"11,214.31",,"11,449.14",,"11,123.98",,"10,840.94",,"10,599.57",,"10,560.33",,"10,524.33",,"10,490.95",,"10,459.34",,"10,428.82",,"10,399.13",,"22,201.4",,"22,724.8",,"23,206.7",,"22,681.0",,"22,191.7",,"21,771.7",,"21,705.2",,"21,644.9",,"21,589.5",,"21,537.2",,"21,486.4",,"21,436.5",,46.1,,49.6,,53.2,,53.8,,53.0,,54.6,,55.2,,55.8,,56.3,,56.9,,57.5,,58.0,
Russian Federation,"74,767.83",,"77,029.68",,"78,915.90",,"79,067.37",,"78,195.35",,"77,107.81",,"76,994.39",,"76,926.61",,"76,889.54",,"76,860.86",,"76,823.62",,"76,772.97",,"63,887.53",,"66,612.43",,"69,327.61",,"69,631.21",,"68,562.17",,"66,735.35",,"66,515.67",,"66,367.92",,"66,273.56",,"66,203.22",,"66,134.54",,"66,062.59",,"138,655.4",,"143,642.1",,"148,243.5",,"148,698.6",,"146,757.5",,"143,843.2",,"143,510.1",,"143,294.5",,"143,163.1",,"143,064.1",,"142,958.2",,"142,835.6",,69.8,,71.9,,73.4,,73.4,,73.4,,72.9,,72.9,,73.0,,73.0,,73.1,,73.2,,73.2,
Rwanda,"2,629.42",,"3,083.85",,"3,605.26",,"2,860.54",,"4,146.30",,"4,696.18",,"4,815.79",,"4,950.53",,"5,097.81",,"5,252.02",,"5,409.00",,"5,569.07",,"2,549.51",,"2,997.06",,"3,504.28",,"2,709.67",,"3,952.05",,"4,505.55",,"4,625.62",,"4,760.00",,"4,906.28",,"5,059.25",,"5,215.01",,"5,373.88",,"5,178.9",,"6,080.9",,"7,109.5",,"5,570.2",,"8,098.3",,"9,201.7",,"9,441.4",,"9,710.5",,"10,004.1",,"10,311.3",,"10,624.0",,"10,943.0",,4.7,,5.1,,5.4,,8.3,,13.8,,17.5,,17.8,,18.0,,18.3,,18.6,,18.9,,19.2,
Saint Kitts and Nevis,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,43.2,,42.0,,40.7,,43.1,,46.1,,49.2,,49.8,,50.5,,51.1,,51.8,,52.4,,53.1,,35.9,,35.2,,34.6,,33.7,,32.8,,32.2,,32.2,,32.2,,32.2,,32.3,,32.4,,32.6,
Saint Lucia,60.47,,64.62,,70.59,,75.34,,80.51,,84.68,,85.58,,86.53,,87.50,,88.48,,89.44,,90.37,,57.22,,61.50,,67.45,,71.73,,76.60,,80.60,,81.42,,82.27,,83.12,,83.98,,84.83,,85.67,,117.7,,126.1,,138.0,,147.1,,157.1,,165.3,,167.0,,168.8,,170.6,,172.5,,174.3,,176.0,,26.5,,27.9,,29.3,,29.6,,28.0,,27.6,,27.6,,27.7,,27.7,,27.8,,28.0,,28.1,
Saint Vincent and the Grenadines,51.81,,53.25,,54.03,,53.97,,53.57,,53.85,,53.92,,53.99,,54.05,,54.10,,54.14,,54.16,,48.65,,51.15,,53.42,,54.12,,54.32,,54.91,,55.00,,55.08,,55.13,,55.17,,55.20,,55.21,,100.5,,104.4,,107.4,,108.1,,107.9,,108.8,,108.9,,109.1,,109.2,,109.3,,109.3,,109.4,,35.9,,38.6,,41.4,,43.4,,45.2,,47.1,,47.5,,48.0,,48.4,,48.9,,49.3,,49.8,
Samoa,75.56,,75.46,,76.57,,80.63,,84.68,,86.76,,87.10,,87.43,,87.78,,88.14,,88.52,,88.93,,79.45,,81.46,,84.74,,87.63,,91.87,,93.48,,93.67,,93.84,,94.03,,94.26,,94.56,,94.94,,155.0,,156.9,,161.3,,168.3,,176.5,,180.2,,180.8,,181.3,,181.8,,182.4,,183.1,,183.9,,21.2,,21.2,,21.2,,21.5,,22.0,,21.2,,21.0,,20.7,,20.5,,20.4,,20.2,,20.1,
San Marino,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21.4,,22.8,,24.1,,25.7,,27.0,,30.3,,30.7,,31.0,,31.2,,31.4,,31.5,,31.7,,81.2,,88.3,,90.4,,91.7,,93.4,,94.0,,94.0,,94.0,,94.1,,94.1,,94.1,,94.1,
Sao Tome and Principe,47.59,,52.37,,58.55,,64.48,,71.08,,77.00,,78.20,,79.42,,80.68,,82.03,,83.48,,85.05,,47.10,,51.49,,57.57,,63.45,,69.93,,75.63,,76.77,,77.95,,79.17,,80.48,,81.91,,83.48,,94.7,,103.9,,116.1,,127.9,,141.0,,152.6,,155.0,,157.4,,159.9,,162.5,,165.4,,168.5,,33.5,,38.0,,43.6,,48.6,,53.4,,58.1,,58.9,,59.8,,60.6,,61.4,,62.2,,63.0,
Saudi Arabia,"4,542.35",,"5,960.90",,"7,098.07",,"8,152.81",,"9,265.26",,"10,561.69",,"10,878.50",,"11,216.17",,"11,565.56",,"11,913.92",,"12,251.95",,"12,575.93",,"5,259.12",,"7,259.58",,"9,040.98",,"10,339.04",,"10,780.02",,"13,479.43",,"13,920.94",,"14,288.01",,"14,601.08",,"14,895.19",,"15,196.13",,"15,506.62",,"9,801.5",,"13,220.5",,"16,139.1",,"18,491.8",,"20,045.3",,"24,041.1",,"24,799.4",,"25,504.2",,"26,166.6",,"26,809.1",,"27,448.1",,"28,082.5",,65.9,,72.6,,76.6,,78.7,,79.8,,81.0,,81.2,,81.4,,81.6,,81.9,,82.1,,82.3,
Senegal,"2,690.73",,"3,112.42",,"3,622.17",,"4,191.41",,"4,781.27",,"5,475.79",,"5,626.73",,"5,781.46",,"5,939.84",,"6,101.70",,"6,266.85",,"6,435.19",,"2,723.34",,"3,119.97",,"3,619.41",,"4,177.71",,"4,724.59",,"5,396.12",,"5,542.82",,"5,693.20",,"5,847.28",,"6,005.17",,"6,166.88",,"6,332.36",,"5,414.1",,"6,232.4",,"7,241.6",,"8,369.1",,"9,505.9",,"10,871.9",,"11,169.5",,"11,474.7",,"11,787.1",,"12,106.9",,"12,433.7",,"12,767.6",,35.8,,37.5,,38.9,,39.6,,40.3,,41.1,,41.3,,41.6,,41.8,,42.1,,42.4,,42.7,
Serbia,"4,512.58",,"4,671.87",,"4,814.22",,"5,141.47",,"5,113.13",,"4,981.98",,"4,971.94",,"4,970.03",,"4,973.29",,"4,977.24",,"4,978.55",,"4,976.41",,"4,433.50",,"4,600.43",,"4,754.53",,"5,062.46",,"5,020.43",,"4,874.17",,"4,863.91",,"4,862.97",,"4,868.07",,"4,874.20",,"4,877.67",,"4,877.56",,"8,946.1",,"9,272.3",,"9,568.7",,"10,203.9",,"10,133.6",,"9,856.2",,"9,835.8",,"9,833.0",,"9,841.4",,"9,851.4",,"9,856.2",,"9,854.0",,46.1,,48.3,,50.4,,51.7,,53.0,,54.4,,54.7,,55.1,,55.4,,55.7,,56.1,,56.4,
Seychelles,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,62.8,,66.9,,71.0,,74.8,,78.7,,83.5,,84.3,,85.0,,85.6,,86.1,,86.5,,86.9,,49.4,,49.3,,49.3,,49.9,,51.0,,52.9,,53.3,,53.8,,54.3,,54.8,,55.3,,55.9,
Sierra Leone,"1,617.01",,"1,810.11",,"2,037.42",,"2,000.91",,"2,129.59",,"2,645.02",,"2,732.67",,"2,808.20",,"2,874.74",,"2,937.79",,"3,001.44",,"3,066.06",,"1,544.75",,"1,730.62",,"1,944.15",,"1,897.45",,"2,013.52",,"2,508.42",,"2,594.69",,"2,670.09",,"2,737.39",,"2,801.50",,"2,866.09",,"2,931.43",,"3,161.8",,"3,540.7",,"3,981.6",,"3,898.4",,"4,143.1",,"5,153.4",,"5,327.4",,"5,478.3",,"5,612.1",,"5,739.3",,"5,867.5",,"5,997.5",,29.1,,31.6,,32.9,,34.2,,35.5,,36.8,,37.1,,37.4,,37.7,,38.0,,38.4,,38.8,
Singapore,"1,182.88",,"1,329.02",,"1,499.05",,"1,729.09",,"1,961.29",,"2,119.37",,"2,188.69",,"2,274.11",,"2,366.32",,"2,452.10",,"2,521.98",,"2,572.71",,"1,231.68",,"1,379.62",,"1,517.58",,"1,752.59",,"1,958.01",,"2,146.63",,"2,221.27",,"2,310.79",,"2,405.89",,"2,493.55",,"2,564.44",,"2,615.23",,"2,414.6",,"2,708.6",,"3,016.6",,"3,481.7",,"3,919.3",,"4,266.0",,"4,410.0",,"4,584.9",,"4,772.2",,"4,945.6",,"5,086.4",,"5,187.9",,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,,100.0,
Slovakia,"2,522.34",,"2,621.60",,"2,695.46",,"2,753.33",,"2,777.43",,"2,785.97",,"2,788.94",,"2,792.66",,"2,796.97",,"2,801.56",,"2,806.21",,"2,810.87",,"2,439.26",,"2,520.28",,"2,574.61",,"2,615.57",,"2,627.42",,"2,629.53",,"2,633.19",,"2,638.31",,"2,644.34",,"2,650.41",,"2,655.91",,"2,660.64",,"4,961.6",,"5,141.9",,"5,270.1",,"5,368.9",,"5,404.8",,"5,415.5",,"5,422.1",,"5,431.0",,"5,441.3",,"5,452.0",,"5,462.1",,"5,471.5",,51.6,,54.2,,56.5,,56.5,,56.2,,55.6,,55.5,,55.3,,55.2,,55.1,,55.0,,54.9,
Slovenia,947.33,,973.66,,993.44,,"1,010.15",,"1,018.39",,"1,025.26",,"1,027.31",,"1,029.64",,"1,032.13",,"1,034.61",,"1,036.95",,"1,039.10",,884.55,,909.52,,933.27,,956.05,,967.02,,976.82,,979.60,,982.71,,986.04,,989.43,,992.73,,995.91,,"1,831.9",,"1,883.2",,"1,926.7",,"1,966.2",,"1,985.4",,"2,002.1",,"2,006.9",,"2,012.3",,"2,018.2",,"2,024.0",,"2,029.7",,"2,035.0",,48.0,,49.6,,50.4,,50.6,,50.8,,50.2,,50.0,,49.9,,49.7,,49.6,,49.5,,49.5,
Solomon Islands,109.91,,129.31,,149.29,,171.91,,197.08,,226.84,,233.25,,239.77,,246.41,,253.13,,259.91,,266.74,,119.33,,139.55,,160.24,,184.50,,211.65,,242.96,,249.76,,256.72,,263.81,,271.00,,278.24,,285.52,,229.2,,268.9,,309.5,,356.4,,408.7,,469.8,,483.0,,496.5,,510.2,,524.1,,538.1,,552.3,,10.6,,12.4,,13.7,,14.7,,15.7,,17.0,,17.3,,17.6,,17.9,,18.2,,18.6,,18.9,
Somalia,"3,254.84",,"3,218.03",,"3,335.14",,"3,297.03",,"3,736.74",,"4,218.32",,"4,312.15",,"4,405.10",,"4,499.42",,"4,598.19",,"4,703.76",,"4,816.93",,"3,180.75",,"3,145.76",,"3,264.11",,"3,227.67",,"3,662.29",,"4,141.54",,"4,235.34",,"4,328.39",,"4,422.84",,"4,521.66",,"4,627.11",,"4,739.94",,"6,435.6",,"6,363.8",,"6,599.2",,"6,524.7",,"7,399.0",,"8,359.9",,"8,547.5",,"8,733.5",,"8,922.3",,"9,119.8",,"9,330.9",,"9,556.9",,26.8,,28.1,,29.7,,31.4,,33.2,,35.2,,35.6,,36.1,,36.5,,37.0,,37.4,,37.9,
