,HDI: GDP per capita in PPP terms (constant 2005 international $),,,,,,,,,,,,,,,,,,,,,,HDI: GNI per capita in PPP terms (constant 2005 international $),,,,,,,,,,,,,,,,,,,,,
,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,,1980,,1985,,1990,,1995,,2000,,2005,,2006,,2007,,2008,,2009,,2011,
Country,,,,,,,,,,,,,,,,,,,,,,,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),,(Constant 2005 international $),
Côte d'Ivoire,"2,645",,"2,155",,"1,897",,"1,717",,"1,737",,"1,560",,"1,537",,"1,528",,"1,526",,"1,545",,..,,"2,507",,"1,922",,"1,599",,"1,550",,"1,599",,"1,490",,"1,458",,"1,445",,"1,448",,"1,476",,"1,387",d
Denmark,"20,790",,"23,813",,"25,447",,"28,083",,"31,666",,"33,214",,"34,207",,"34,633",,"34,130",,"32,252",,..,,"20,682",,"23,218",,"24,790",,"27,786",,"31,000",,"33,680",,"34,850",,"34,992",,"34,531",,"33,163",,"34,347",
Djibouti,..,,..,,"2,746",,"2,108",,"1,761",,"1,848",,"1,902",,"1,964",,"2,041",,"2,106",,..,,..,,..,,..,,"2,182",,"1,811",,"2,020",,"2,095",,"2,161",,"2,216",,"2,240",,"2,335",
Dominica,"3,392",,"4,329",,"5,783",,"6,181",,"7,012",,"7,205",,"7,614",,"7,940",,"8,177",,"8,066",,..,,"3,408",,"4,114",,"5,613",,"5,807",,"6,003",,"6,510",,"7,248",,"7,492",,"7,716",,"7,688",,"7,889",
Dominican Republic,"3,681",,"3,615",,"3,740",,"4,383",,"5,629",,"6,200",,"6,762",,"7,231",,"7,505",,"7,658",,..,,"3,566",,"3,383",,"3,594",,"4,188",,"5,396",,"5,850",,"6,412",,"6,872",,"7,215",,"7,372",,"8,087",
Ecuador,"5,792",,"5,425",,"5,498",,"5,652",,"5,489",,"6,736",,"6,923",,"7,123",,"7,560",,"7,508",,..,,"5,588",,"4,914",,"4,871",,"5,375",,"5,005",,"6,380",,"6,579",,"6,786",,"7,327",,"7,337",,"7,589",
Egypt,"2,432",,"2,955",,"3,185",,"3,406",,"3,992",,"4,319",,"4,529",,"4,762",,"5,011",,"5,151",,..,,"2,288",,"2,692",,"3,132",,"3,431",,"4,051",,"4,310",,"4,551",,"4,819",,"5,061",,"5,162",,"5,269",
El Salvador,"4,380",,"3,549",,"3,686",,"4,628",,"5,183",,"5,687",,"5,902",,"6,149",,"6,270",,"6,020",,..,,"4,282",,"3,426",,"3,590",,"4,572",,"5,069",,"5,490",,"5,718",,"5,962",,"6,114",,"5,817",,"5,925",
Equatorial Guinea,..,,"2,227",,"1,971",,"2,310",,"8,542",,"24,770",,"24,417",,"28,876",,"31,309",,"28,857",,..,,..,,..,,"1,862",,"2,169",,"5,998",,"12,580",,"13,121",,"15,317",,"20,049",,"17,542",,"17,608",
Eritrea,..,,..,,..,,751,,686,,638,,610,,599,,524,,527,,..,,..,,..,,..,,762,,675,,630,,595,,577,,518,,516,,536,
Estonia,"9,048",,"10,039",,"10,087",,"7,774",,"10,937",,"16,548",,"18,434",,"19,773",,"18,773",,"16,132",,..,,..,,..,,"10,075",,"7,769",,"10,553",,"15,870",,"17,465",,"18,431",,"17,556",,"15,659",,"16,799",
Ethiopia,..,,500,,546,,486,,528,,633,,683,,742,,801,,848,,..,,..,,506,,555,,506,,541,,630,,707,,746,,822,,868,,971,
Fiji,"3,443",,"3,056",,"3,457",,"3,699",,"3,935",,"4,295",,"4,348",,"4,282",,"4,263",,"4,110",,..,,"3,390",,"3,026",,"3,341",,"3,621",,"4,008",,"4,360",,"4,175",,"4,181",,"4,223",,"4,118",,"4,145",
Finland,"17,854",,"19,939",,"23,140",,"21,894",,"27,320",,"30,684",,"31,914",,"33,474",,"33,626",,"30,784",,..,,"17,590",,"19,575",,"22,486",,"21,170",,"27,117",,"30,830",,"32,219",,"33,491",,"33,802",,"30,797",,"32,438",
France,"20,253",,"21,327",,"24,315",,"25,221",,"28,403",,"29,809",,"30,227",,"30,651",,"30,546",,"29,578",,..,,"20,364",,"21,286",,"24,381",,"25,273",,"28,791",,"30,000",,"30,525",,"31,009",,"30,852",,"29,818",,"30,462",
Gabon,"17,033",,"16,557",,"14,987",,"14,899",,"13,271",,"13,029",,"12,933",,"13,399",,"13,461",,"13,094",,..,,"15,358",,"15,335",,"13,432",,"12,900",,"11,223",,"11,590",,"10,703",,"11,624",,"11,443",,"11,299",,"12,249",
Gambia,"1,165",,"1,140",,"1,144",,"1,047",,"1,087",,"1,142",,"1,182",,"1,222",,"1,261",,"1,285",,..,,"1,143",,"1,120",,"1,072",,"1,032",,"1,056",,"1,030",,"1,076",,"1,121",,"1,193",,"1,230",,"1,282",
Georgia,..,,..,,"5,683",,"1,730",,"2,453",,"3,610",,"3,916",,"4,409",,"4,516",,"4,335",,..,,..,,..,,..,,"1,636",,"2,537",,"3,650",,"3,987",,"4,423",,"4,447",,"4,266",,"4,780",
Germany,"20,688",,"22,311",,"25,672",,"27,846",,"30,543",,"31,364",,"32,457",,"33,364",,"33,758",,"32,255",,..,,"20,794",,"22,536",,"25,971",,"27,641",,"30,262",,"31,740",,"33,133",,"33,954",,"34,294",,"32,709",,"34,854",
Ghana,983,,816,,897,,960,,"1,047",,"1,193",,"1,242",,"1,295",,"1,375",,"1,410",,..,,972,,808,,874,,924,,"1,009",,"1,180",,"1,220",,"1,276",,"1,356",,"1,386",,"1,584",
