,Carbon Dioxide Emissions per capita,,,,,,,,,,,,,,,,,,,,,,Carbon dioxide per capita emission (growth 1970-2008),,,,,,,,,,,,,,,,,,,,,,Change in forest area,,,,,,,,,,,,,,,,,,,,,,Ecological footprint of consumption,,,,,,,,,,,,,,,,,,,,,,Endangered species,,,,,,,,,,,,,,,,,,,,,,Environmental performance index (EPI),,,,,,,,,,,,,,,,,,,,,,Forest area,,,,,,,,,,,,,,,,,,,,,,Forest area (% of total land area),,,,,,,,,,,,,,,,,,,,,,Fresh water withdrawals,,,,,,,,,,,,,,,,,,,,,,Greenhouse gases per capita,,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: number of deaths (average per year/million),,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: population affected (average per year/million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,..,,..,,21.2,,20.1,,21.4,,21.0,,5.6,,5.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.5,,-0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11.6,,..,,..,,..,,..,,..,,..,,..,,..,,3.2,,3.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,69.1,,..,,..,,..,,"1,854",,"1,907",,"1,983",,"1,992",,"2,001",,"2,011",,..,,..,,..,,..,,..,,20.6,,21.3,,22.1,,22.2,,22.3,,22.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.4,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,..,,..,,26.6,,28.2,,27.1,,27.2,,7.8,,7.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.4,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,223.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,93.5,,..,,..,,..,,14,,18,,25,,26,,27,,28,,..,,..,,..,,..,,..,,0.1,,0.2,,0.3,,0.3,,0.3,,0.3,f,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.1,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,3.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,..,,..,,3.5,,4.2,,4.6,,4.8,,1.4,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7.8,,3.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.6,,..,,..,,..,,..,,..,,..,,..,,..,,0.8,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,..,,..,,48.3,,..,,..,,..,,"64,665",,"65,390",,"67,709",,"67,854",,"67,999",,"68,144",,..,,..,,..,,..,,..,,21.7,,22.0,,22.8,,22.8,,22.9,,22.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,40.1,,..,,..,,0.0,,0.0,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,..,,..,,4.2,,4.3,,5.4,,5.3,,1.8,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.5,,4.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-19.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16,,..,,..,,..,,..,,..,,..,,..,,..,,..,,44.6,,..,,..,,..,,"108,977",,"99,409",,"97,857",,"97,172",,"96,487",,"95,802",,..,,..,,..,,..,,..,,60.2,,54.9,,54.0,,53.6,,53.3,,52.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran (Islamic Republic of),..,,..,,16.8,,18.8,,23.0,,24.4,,6.9,,7.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.1,,2.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,2.7,,2.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,60.0,,..,,..,,..,,"11,075",,"11,075",,"11,075",,"11,075",,"11,075",,"11,075",,..,,..,,..,,..,,..,,6.8,,6.8,,6.8,,6.8,,6.8,,6.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,67.7,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,..,,..,,13.2,,10.9,,11.6,,11.9,,3.4,,3.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.8,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.6,,..,,..,,..,,..,,..,,..,,..,,..,,1.3,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41.0,,..,,..,,..,,811,,818,,825,,825,,825,,825,,..,,..,,..,,..,,..,,1.9,,1.9,,1.9,,1.9,,1.9,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,..,,..,,34.3,,40.7,,39.0,,38.1,,10.3,,9.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.5,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,55.1,,..,,..,,..,,..,,..,,..,,..,,..,,8.2,,6.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,67.1,,..,,..,,..,,550,,635,,695,,704,,713,,721,,..,,..,,..,,..,,..,,8.0,,9.2,,10.1,,10.2,,10.3,,10.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,5.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,g,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,..,,..,,37.0,,37.8,,34.9,,37.9,,9.3,,5.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.9,,-0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.0,,..,,..,,..,,..,,..,,..,,..,,..,,5.4,,4.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12,,..,,..,,..,,..,,..,,..,,..,,..,,..,,62.4,,..,,..,,..,,143,,153,,155,,155,,155,,154,,..,,..,,..,,..,,..,,6.6,,7.1,,7.2,,7.2,,7.1,,7.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,101.9,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,..,,..,,28.0,,28.4,,29.4,,29.6,,7.7,,7.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.1,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18.5,,..,,..,,..,,..,,..,,..,,..,,..,,4.9,,5.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14,,..,,..,,..,,..,,..,,..,,..,,..,,..,,73.1,,..,,..,,..,,"7,980",,"8,369",,"8,759",,"8,837",,"8,915",,"8,993",,..,,..,,..,,..,,..,,27.1,,28.5,,29.8,,30.0,,30.3,,30.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,33,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,..,,..,,14.3,,14.6,,13.9,,16.5,,5.2,,4.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.5,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15,,..,,..,,..,,..,,..,,..,,..,,..,,..,,58.0,,..,,..,,..,,343,,341,,339,,339,,338,,338,,..,,..,,..,,..,,..,,31.6,,31.5,,31.3,,31.3,,31.2,,31.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,..,,..,,37.0,,36.4,,37.3,,37.1,,9.9,,9.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,4.1,,4.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15,,..,,..,,..,,..,,..,,..,,..,,..,,..,,72.5,,..,,..,,..,,"24,913",,"24,876",,"24,935",,"24,944",,"24,953",,"24,961",,..,,..,,..,,..,,..,,68.3,,68.2,,68.4,,68.4,,68.5,,68.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,..,,..,,11.6,,11.8,,14.1,,13.3,,3.7,,3.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.6,,3.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,2.0,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,..,,56.1,,..,,..,,..,,98,,98,,98,,98,,98,,98,,..,,..,,..,,..,,..,,1.1,,1.1,,1.1,,1.1,,1.1,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,99.4,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,..,,..,,38.4,,31.3,,42.7,,46.3,,14.7,,15.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.4,,4.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,57.3,,..,,..,,..,,"3,394",,"3,365",,"3,337",,"3,331",,"3,326",,"3,320",,..,,..,,..,,..,,..,,1.3,,1.2,,1.2,,1.2,,1.2,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,4.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,..,,..,,1.0,,1.2,,1.1,,1.2,,0.3,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.4,,-0.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-5.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,51.4,,..,,..,,..,,"3,645",,"3,582",,"3,522",,"3,511",,"3,500",,"3,489",,..,,..,,..,,..,,..,,6.4,,6.3,,6.2,,6.2,,6.1,,6.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.9,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,..,,..,,1.0,,1.4,,1.0,,1.1,,0.3,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.7,,-0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12,,12,,12,,12,,12,,12,,..,,..,,..,,..,,..,,15.0,,15.0,,15.0,,15.0,,15.0,,15.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea (Democratic People's Rep. of),..,,..,,43.8,,12.3,,13.0,,13.1,,..,,3.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-27.8,,..,,..,,..,,..,,..,,..,,..,,..,,1.4,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41.8,,..,,..,,..,,"7,567",,"6,933",,"6,299",,"6,172",,"6,046",,"5,919",,..,,..,,..,,..,,..,,62.8,,57.6,,52.3,,51.3,,50.2,,49.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea (Republic of),..,,..,,30.8,,35.1,,36.3,,36.3,,10.3,,10.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.9,,5.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-2.1,,..,,..,,..,,..,,..,,..,,..,,..,,3.7,,4.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,..,,57.0,,..,,..,,..,,"6,329",,"6,288",,"6,255",,"6,248",,"6,242",,"6,235",,..,,..,,..,,..,,..,,64.1,,63.7,,64.6,,64.5,,64.4,,64.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,..,,..,,113.1,,117.0,,122.1,,114.3,,34.1,,26.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,-0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,70.6,,..,,..,,..,,..,,..,,..,,..,,..,,7.9,,6.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,51.1,,..,,..,,..,,4,,5,,6,,6,,6,,6,,..,,..,,..,,..,,..,,0.2,,0.3,,0.3,,0.3,,0.3,,0.3,f,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,6.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,..,,..,,3.7,,3.4,,3.9,,3.9,,1.1,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.3,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,59.7,,..,,..,,..,,847,,858,,869,,886,,903,,920,,..,,..,,..,,..,,..,,4.4,,4.5,,4.5,,4.6,,4.7,,4.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic,..,,..,,0.2,,0.7,,0.9,,0.9,,0.3,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.5,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-8.1,,..,,..,,..,,..,,..,,..,,..,,..,,1.0,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,59.6,,..,,..,,..,,"16,923",,"16,532",,"16,142",,"16,064",,"15,986",,"15,907",,..,,..,,..,,..,,..,,73.3,,71.6,,69.9,,69.6,,69.3,,68.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,..,,..,,13.9,,9.4,,11.3,,12.0,,3.4,,3.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.6,,5.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,72.5,,..,,..,,..,,"3,207",,"3,241",,"3,297",,"3,308",,"3,320",,"3,331",,..,,..,,..,,..,,..,,51.6,,52.1,,53.0,,53.2,,53.4,,53.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,..,,..,,14.3,,14.9,,16.0,,13.9,,3.6,,4.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.3,,2.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4.4,,..,,..,,..,,..,,..,,..,,..,,..,,2.1,,2.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,..,,57.9,,..,,..,,..,,131,,131,,137,,137,,137,,137,,..,,..,,..,,..,,..,,12.8,,12.8,,13.3,,13.4,,13.4,,13.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,28.1,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,g,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,41,,42,,43,,43,,43,,44,,..,,..,,..,,..,,..,,1.4,,1.4,,1.4,,1.4,,1.4,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,..,,..,,0.6,,0.5,,0.8,,0.8,,0.2,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-2.2,,-5.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-11.0,,..,,..,,..,,..,,..,,..,,..,,..,,1.2,,1.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"4,779",,"4,629",,"4,479",,"4,449",,"4,419",,"4,389",,..,,..,,..,,..,,..,,49.6,,48.1,,46.5,,46.2,,45.9,,45.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libyan Arab Jamahiriya,..,,..,,35.4,,34.1,,34.0,,33.7,,9.3,,9.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.2,,-1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,3.2,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,50.1,,..,,..,,..,,217,,217,,217,,217,,217,,217,,..,,..,,..,,..,,..,,0.1,,0.1,,0.1,,0.1,,0.1,,0.1,f,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,7,,7,,7,,7,,7,,..,,..,,..,,..,,..,,41.9,,43.1,,43.1,,43.1,,43.1,,43.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,..,,..,,16.4,,12.8,,15.0,,15.3,,4.5,,4.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.3,,4.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,68.3,,..,,..,,..,,"1,983",,"2,020",,"2,121",,"2,129",,"2,137",,"2,144",,..,,..,,..,,..,,..,,31.6,,32.2,,33.8,,34.0,,34.1,,34.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.6,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,..,,..,,75.0,,69.1,,91.0,,89.9,,22.6,,21.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.2,,-1.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,67.8,,..,,..,,..,,..,,87,,87,,87,,87,,87,,..,,..,,..,,..,,..,,..,,33.5,,33.5,,33.5,,33.5,,33.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,3.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,34,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
